test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,explanation_latex
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,What is the solution set of the equation above?,[Math: set consisting of - 1],[Math: set consisting of 5],[Math: set consisting of - 1 and 5],"[Math: set consisting of 0, - 1, and 5]",B,,"Choice B is correct. Subtracting 4 from both sides of [Math: the square root of 2 x + 6, end root, + 4, =, x + 3] isolates the radical expression on the left side of the equation as follows: [Math: the square root of 2 x + 6, end root, =, x minus 1]. Squaring both sides of [Math: the square root of 2 x + 6, end root, =, x minus 1] yields [Math: 2 x + 6, = x squared, minus 2 x, + 1]. This equation can be rewritten as a quadratic equation in standard form: [Math: x squared, minus 4 x, minus 5, = 0]. One way to solve this quadratic equation is to factor the expression [Math: x squared, minus 4 x, minus 5] by identifying two numbers with a sum of [Math: - 4] and a product of [Math: - 5]. These numbers are [Math: - 5] and 1. So the quadratic equation can be factored as [Math: open parenthesis, x minus 5, close parenthesis, times, open parenthesis, x + 1, close parenthesis, = 0]. It follows that 5 and [Math: - 1] are the solutions to the quadratic equation. However, the solutions must be verified by checking whether 5 and[Math: - 1] satisfy the original equation, [Math: the square root of 2 x + 6, end root, + 4, =, x + 3]. When [Math: x = - 1], the original equation gives [Math: the square root of 2 times - 1, + 6, end root, + 4, =, - 1 + 3], or [Math: 6 = 2], which is false. Therefore, [Math: - 1] does not satisfy the original equation. When [Math: x = 5], the original equation gives [Math: the square root of 2 times 5, + 6, end root, + 4, =, 5 + 3], or [Math: 8 = 8], which is true. Therefore, [Math: x = 5] is the only solution to the original equation, and so the solution set is [Math: 5].Choices A, C, and D are incorrect because each of these sets contains at least one value that results in a false statement when substituted into the given equation. For instance, in choice D, when 0 is substituted for x into the given equation, the result is [Math: the square root of 2 times 0, + 6, + 4, end root, =, 0 + 3], or [Math: the square root of 6, end root, + 4, = 3]. This is not a true statement, so 0 is not a solution to the given equation."
Math,Advanced Math,Nonlinear functions,Hard,$f \left(x\right) = \left(x - 10\right) \left(x + 13\right)$ The function $f$ is defined by the given equation. For what value of $x$ does $f \left(x\right)$ reach its minimum?,$- 130$,$- 13$,$- \frac{23}{2}$,$- \frac{3}{2}$,D,,"Choice D is correct. It's given that $f \left(x\right) = \left(x - 10\right) \left(x + 13\right)$, which can be rewritten as $f \left(x\right) = x^{2} + 3 x - 130$. Since the coefficient of the $x^{2}$-term is positive, the graph of $y = f \left(x\right)$ in the xy-plane opens upward and reaches its minimum value at its vertex. The x-coordinate of the vertex is the value of $x$ such that $f \left(x\right)$ reaches its minimum. For an equation in the form $f \left(x\right) = a x^{2} + b x + c$, where $a$, $b$, and $c$ are constants, the x-coordinate of the vertex is $- \frac{b}{2 a}$. For the equation $f \left(x\right) = x^{2} + 3 x - 130$, $a = 1$, $b = 3$, and $c = - 130$. It follows that the x-coordinate of the vertex is $- \frac{3}{2 \left(1\right)}$, or $- \frac{3}{2}$. Therefore, $f \left(x\right)$ reaches its minimum when the value of $x$ is $- \frac{3}{2}$. Alternate approach: The value of $x$ for the vertex of a parabola is the x-value of the midpoint between the two x-intercepts of the parabola. Since it’s given that $f \left(x\right) = \left(x - 10\right) \left(x + 13\right)$, it follows that the two x-intercepts of the graph of $y = f \left(x\right)$ in the xy-plane occur when $x = 10$ and $x = - 13$, or at the points $\left(10 , 0\right)$ and $\left(- 13 , 0\right)$. The midpoint between two points, $\left(x_{1} , y_{1}\right)$ and $\left(x_{2} , y_{2}\right)$, is $\left(\frac{x_{1} + x_{2}}{2} , \frac{y_{1} + y_{2}}{2}\right)$. Therefore, the midpoint between $\left(10 , 0\right)$ and $\left(- 13 , 0\right)$ is $\left(\frac{10 + \left(- 13\right)}{2} , \frac{0 + 0}{2}\right)$, or $\left(- \frac{3}{2} , 0\right)$. It follows that $f \left(x\right)$ reaches its minimum when the value of $x$ is $- \frac{3}{2}$. Choice A is incorrect. This is the y-coordinate of the y-intercept of the graph of $y = f \left(x\right)$ in the xy-plane. Choice B is incorrect. This is one of the x-coordinates of the x-intercepts of the graph of $y = f \left(x\right)$ in the xy-plane. Choice C is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Equivalent expressions,Easy,Which of the following is equivalent to the given expression?,"[Math: 5 times, open parenthesis, x + 3, close parenthesis]","[Math: 5 times, open parenthesis, x + 10, close parenthesis]","[Math: 5 times, open parenthesis, x + 15, close parenthesis]","[Math: 5 times, open parenthesis, x + 20, close parenthesis]",A,,"Choice A is correct. Since 5 is a factor of both terms, [Math: 5 x] and 15, the given expression can be factored and rewritten as [Math: 5 times, open parenthesis, x + 3, close parenthesis].Choice B is incorrect and may result from subtracting 5 from the constant when factoring 5 from the given expression. Choice C is incorrect and may result from factoring 5 from only the first term, not both terms, of the given expression. Choice D is incorrect and may result from adding 5 to the constant when factoring 5 from the given expression."
Math,Advanced Math,Equivalent expressions,Easy,Which expression is equivalent to $20 w - \left(4 w + 3 w\right)$?,$10 w$,$13 w$,$19 w$,$21 w$,B,,"Choice B is correct. Combining like terms inside the parentheses of the given expression, $20 w - \left(4 w + 3 w\right)$, yields $20 w - \left(7 w\right)$. Combining like terms in this resulting expression yields $13 w$. Choice A is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Equivalent expressions,Hard,"If $4^{8 c} = \sqrt[3]{4^{7}}$, what is the value of $c$?",,,,,".2916, .2917, 7/24",".2916, .2917, 7/24","The correct answer is $\frac{7}{24}$. An expression of the form $\sqrt[n]{a^{m}}$, where $m$ and $n$ are integers greater than $1$ and $a \geq 0$, is equivalent to $a^{\frac{m}{n}}$. Therefore, the expression on the right-hand side of the given equation, $\sqrt[3]{4^{7}}$, is equivalent to $4^{\frac{7}{3}}$. Thus, $4^{8 c} = 4^{\frac{7}{3}}$. It follows that $8 c = \frac{7}{3}$. Dividing both sides of this equation by $8$ yields $c = \frac{7}{24}$. Note that 7/24, .2916, .2917, 0.219, and 0.292 are examples of ways to enter a correct answer."
Math,Advanced Math,Equivalent expressions,Easy,Which expression is equivalent to $34 x + 34 y$?,$34 x y$,$34 \left(\right. x + y \left.\right)$,$68 y$,$68 x$,B,,"Choice B is correct. Since $34$ is a common factor of each term in the given expression, the expression can be rewritten as $34 \left(x + y\right)$. Choice A is incorrect and may result from conceptual or calculation errors. Choice C is incorrect. This expression is equivalent to $34 y + 34 y$. Choice D is incorrect. This expression is equivalent to $34 x + 34 x$."
Math,Advanced Math,Nonlinear functions,Medium,"$y = 0.25 x^{2} - 7.5 x + 90.25$ The equation gives the estimated stock price $y$, in dollars, for a certain company $x$ days after a new product launched, where $0 \leq x \leq 20$. Which statement is the best interpretation of $\left(x , y\right) = \left(1 , 83\right)$ in this context?",The company's estimated stock price increased $\$ 83$ every day after the new product launched.,The company's estimated stock price increased $\$ 1$ every $83$ days after the new product launched.,"$1$ day after the new product launched, the company's estimated stock price is $\$ 83$.","$83$ days after the new product launched, the company's estimated stock price is $\$ 1$.",C,,"Choice C is correct. In the given equation, $x$ represents the number of days after a new product launched, where $0 \leq x \leq 20$, and $y$ represents the estimated stock price, in dollars, for a certain company. Therefore, the best interpretation of $\left(x , y\right) = \left(1 , 83\right)$ in this context is that $1$ day after the new product launched, the company's estimated stock price is $\$ 83$. Choice A is incorrect and may result from conceptual errors. Choice B is incorrect and may result from conceptual errors. Choice D is incorrect and may result from conceptual errors."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,"$p = \frac{k}{4 j + 9}$ The given equation relates the distinct positive numbers $p$, $k$, and $j$. Which equation correctly expresses $4 j + 9$ in terms of $p$ and $k$?",$4 j + 9 = \frac{k}{p}$,$4 j + 9 = k p$,$4 j + 9 = k - p$,$4 j + 9 = \frac{p}{k}$,A,,"Choice A is correct. To express $4 j + 9$ in terms of $p$ and $k$, the given equation must be solved for $4 j + 9$. Since it's given that $j$ is a positive number, $4 j + 9$ is not equal to zero. Therefore, multiplying both sides of the given equation by $4 j + 9$ yields the equivalent equation $p \left(4 j + 9\right) = k$. Since it's given that $p$ is a positive number, $p$ is not equal to zero. Therefore, dividing each side of the equation $p \left(4 j + 9\right) = k$ by $p$ yields the equivalent equation $4 j + 9 = \frac{k}{p}$. Choice B is incorrect. This equation is equivalent to $p = \frac{4 j + 9}{k}$. Choice C is incorrect. This equation is equivalent to $p = k - 4 j - 9$. Choice D is incorrect. This equation is equivalent to $p = k \left(4 j + 9\right)$."
Math,Advanced Math,Nonlinear functions,Hard,"An engineer wanted to identify the best angle for a cooling fan in an engine in order to get the greatest airflow. The engineer discovered that the function above models the airflow [Math: f of theta], in cubic feet per minute, as a function of the angle of the fan [Math: theta], in degrees. According to the model, what angle, in degrees, gives the greatest airflow?",–0.28,0.28,27,880,C,,"Choice C is correct. The function f is quadratic, so it will have either a maximum or a minimum at the vertex of the graph. Since the coefficient of the quadratic term (–0.28) is negative, the vertex will be at a maximum. The equation f([Math: theta]) = –0.28([Math: theta] – 27)2 + 880 is given in vertex form, so the vertex is at [Math: theta] = 27. Therefore, an angle of 27 degrees gives the greatest airflow.Choices A and B are incorrect and may be the result of misidentifying which value in a quadratic equation in vertex form represents the vertex. Choice D is incorrect. This choice identifies the maximum value of f([Math: theta]) rather than the value of [Math: theta] for which f([Math: theta]) is maximized."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Medium,"The speed of sound in dry air, v, can be modeled by the formula [Math: v =, 331 . 3 + 0 . 6 0 6 times T], where T is the temperature in degrees Celsius and v is measured in meters per second. Which of the following correctly expresses T in terms of v ?","[Math: T =, the fraction with numerator, v + 0 . 6 0 6, and denominator, 331 . 3]","[Math: T =, the fraction with numerator, v minus 0 . 6 0 6, and denominator, 331 . 3]","[Math: T =, the fraction with numerator, v + 331 . 3, and denominator, 0 . 6 0 6]","[Math: T =, the fraction with numerator, v minus 331 . 3, and denominator, 0 . 6 0 6]",D,,"Choice D is correct. To express T in terms of v, subtract 331.3 from both sides of the equation, which gives v – 331.3 = 0.606T. Dividing both sides of the equation by 0.606 gives [Math: the fraction with numerator v minus 331 . 3, and denominator 0 . 6 0 6, = T].Choices A, B, and C are incorrect and are the result of incorrect steps while solving for T."
Math,Advanced Math,Equivalent expressions,Easy,"The expression [Math: 2 x squared, + a, x] is equivalent to [Math: x times, open parenthesis, 2 x, + 7, close parenthesis] for some constant a. What is the value of a ?",2,3,4,7,D,,"Choice D is correct. It’s given that [Math: 2 x squared, + a, x] is equivalent to [Math: x times, open parenthesis, 2 x + 7, close parenthesis] for some constant a. Distributing the x over each term in the parentheses gives [Math: 2 x squared, + 7 x], which is in the same form as the first given expression, [Math: 2 x squared, + a, x]. The coefficient of the second term in [Math: 2 x squared, + 7 x] is 7. Therefore, the value of a is 7.Choice A is incorrect. If the value of a were 2, then [Math: 2 x squared, + a, x] would be equivalent to [Math: 2 x squared, + 2 x], which isn’t equivalent to [Math: x times, open parenthesis, 2 x + 7, close parenthesis]. Choice B is incorrect. If the value of a were 3, then [Math: 2 x squared, + a, x] would be equivalent to [Math: 2 x squared, + 3 x], which isn’t equivalent to [Math: x times, open parenthesis, 2 x + 7, close parenthesis]. Choice C is incorrect. If the value of a were 4, then [Math: 2 x squared, + a, x] would be equivalent to [Math: 2 x squared, + 4 x], which isn’t equivalent to [Math: x times, open parenthesis, 2 x + 7, close parenthesis]."
Math,Advanced Math,Nonlinear functions,Hard,"$p \left(t\right) = 90,000 \left(1.06\right)^{t}$ The given function $p$ models the population of Lowell $t$ years after a census. Which of the following functions best models the population of Lowell $m$ months after the census?","$r ( m ) = \frac{90,000}{12} \left(1.06\right)^{m}$","$r ( m ) = 90,000 \left(\frac{1.06}{12}\right)^{m}$","$r ( m ) = 90,000 \left(\frac{1.06}{12}\right)^{\frac{m}{12}}$","$r ( m ) = 90,000 \left(1.06\right)^{\frac{m}{12}}$",D,,"Choice D is correct. It’s given that the function $p$ models the population of Lowell $t$ years after a census. Since there are $12$ months in a year, $m$ months after the census is equivalent to $\frac{m}{12}$ years after the census. Substituting $\frac{m}{12}$ for $t$ in the equation $p \left(t\right) = 90,000 \left(1.06\right)^{t}$ yields $p \left(\frac{m}{12}\right) = 90,000 \left(1.06\right)^{\frac{m}{12}}$. Therefore, the function $r$ that best models the population of Lowell $m$ months after the census is $r \left(m\right) = 90,000 \left(1.06\right)^{\frac{m}{12}}$. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Nonlinear functions,Hard,"Kao measured the temperature of a cup of hot chocolate placed in a room with a constant temperature of 70 degrees Fahrenheit (°F). The temperature of the hot chocolate was 185°F at 6:00 p.m. when it started cooling. The temperature of the hot chocolate was 156°F at 6:05 p.m. and 135°F at 6:10 p.m. The hot chocolate’s temperature continued to decrease. Of the following functions, which best models the temperature [Math: T of m], in degrees Fahrenheit, of Kao’s hot chocolate m minutes after it started cooling?","[Math: T of m =, 185 times, 1 . 2 5 to the m power]","[Math: T of m =, 185 times, 0 . 8 5 to the m power]","[Math: T of m =, open parenthesis, 185 minus 70, close parenthesis, times, 0 . 7 5 raised to the m over 5 power]","[Math: T of m =, 70 +, 115 times, 0 . 7 5 raised to the m over 5 power]",D,,"Choice D is correct. The hot chocolate cools from 185°F over time, never going lower than the room temperature, 70°F. Since the base of the exponent in this function, 0.75, is less than 1, [Math: T of m] decreases as time increases. Using the function, the temperature, in °F, at 6:00 p.m. can be estimated as [Math: T of 0] and is equal to [Math: 70 + 115, times, open parenthesis, 0 . 7 5, close parenthesis, raised to the power zero fifths, = 185]. The temperature, in °F, at 6:05 p.m. can be estimated as [Math: T of 5] and is equal to [Math: 70 + 115, times, open parenthesis, 0 . 7 5, close parenthesis raised to the power five fifths], which is approximately 156°F. Finally, the temperature, in °F, at 6:10 p.m. can be estimated as [Math: T of 10] and is equal to [Math: 70 + 115, times, open parenthesis, 0 . 7 5, close parenthesis, raised to the power ten fifths], which is approximately 135°F. Since these three given values of m and their corresponding values for [Math: T of m] can be verified using the function [Math: T of m =, 70 + 115, times, open parenthesis, 0 . 7 5, close parenthesis, raised to the power the fraction m over 5], this is the best function out of the given choices to model the temperature of Kao’s hot chocolate after m minutes.Choice A is incorrect because the base of the exponent,[Math: 1 . 2 5], results in the value of [Math: T of m] increasing over time rather than decreasing. Choice B is incorrect because when m is large enough, [Math: T of m] becomes less than 70. Choice C is incorrect because the maximum value of [Math: T of m] at 6:00 p.m. is 115°F, not 185°F."
Math,Advanced Math,Nonlinear functions,Easy,"For the function f defined above, what is the value of [Math: f of 2]?",9,12,18,36,C,,"Choice C is correct. The value of [Math: f of 2] is found by evaluating the expression [Math: 2 times 3 raised to the x power] when [Math: x = 2]. Substituting 2 for x in the given equation yields [Math: f of 2 =, 2 times, 3 squared]. Simplifying [Math: 3 squared] in the equation results in [Math: f of 2 =, 2 times 9]. Evaluating the right-hand side of the equation yields [Math: f of 2 = 18]. Therefore, the value of [Math: f of 2] is 18.Choice A is incorrect and may result from evaluating the expression as [Math: 3 squared]. Choice B is incorrect and may result from evaluating the expression as [Math: 2 times, open parenthesis, 3 times 2, close parenthesis]. Choice D is incorrect and may result from evaluating the expression as [Math: open parenthesis, 2 times 3, close parenthesis, squared]."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,"$x^{2} - 2 x - 9 = 0$ One solution to the given equation can be written as $1 + \sqrt{k}$, where $k$ is a constant. What is the value of $k$?",$8$,$10$,$20$,$40$,B,,"Choice B is correct. Adding $9$ to each side of the given equation yields $x^{2} - 2 x = 9$. To complete the square, adding $1$ to each side of this equation yields $x^{2} - 2 x + 1 = 9 + 1$, or $\left(x - 1\right)^{2} = 10$. Taking the square root of each side of this equation yields $x - 1 = \pm \sqrt{10}$. Adding $1$ to each side of this equation yields $x = 1 \pm \sqrt{10}$. Since it's given that one of the solutions to the equation can be written as $1 + \sqrt{k}$, the value of $k$ must be $10$. Alternate approach: It's given that $1 + \sqrt{k}$ is a solution to the given equation. It follows that $x = 1 + \sqrt{k}$. Substituting $1 + \sqrt{k}$ for $x$ in the given equation yields $\left(1 + \sqrt{k}\right)^{2} - 2 \left(1 + \sqrt{k}\right) - 9 = 0$, or $\left(1 + \sqrt{k}\right) \left(1 + \sqrt{k}\right) - 2 \left(1 + \sqrt{k}\right) - 9 = 0$. Expanding the products on the left-hand side of this equation yields $1 + 2 \sqrt{k} + k - 2 - 2 \sqrt{k} - 9 = 0$, or $k - 10 = 0$. Adding $10$ to each side of this equation yields $k = 10$. Choice A is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Medium,"$x + 7 = 10$ $\left(x + 7\right)^{2} = y$ Which ordered pair $\left(x , y\right)$ is a solution to the given system of equations?","$( 3 , 100 )$","$( 3 , 3 )$","$( 3 , 10 )$","$( 3 , 70 )$",A,,"Choice A is correct. The solution to a system of equations is the ordered pair $\left(x , y\right)$ that satisfies all equations in the system. It's given by the first equation in the system that $x + 7 = 10$. Substituting $10$ for $x + 7$ into the second equation yields $10^{2} = y$, or $y = 100$. The x-coordinate of the solution to the system of equations can be found by subtracting $7$ from both sides of the equation $x + 7 = 10$, which yields $x = 3$. Therefore, the ordered pair $\left(3 , 100\right)$ is a solution to the given system of equations. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Equivalent expressions,Medium,Which expression is equivalent to $\left(d - 6\right) \left(8 d^{2} - 3\right)$?,$8 d^{3} - 14 d^{2} - 3 d + 18$,$8 d^{3} - 17 d^{2} + 48$,$8 d^{3} - 48 d^{2} - 3 d + 18$,$8 d^{3} - 51 d^{2} + 48$,C,,"Choice C is correct. Applying the distributive property to the given expression yields $d \left(8 d^{2} - 3\right) - 6 \left(8 d^{2} - 3\right)$. Applying the distributive property once again to this expression yields $\left(d\right) \left(8 d^{2}\right) + \left(d\right) \left(- 3\right) + \left(- 6\right) \left(8 d^{2}\right) + \left(- 6\right) \left(- 3\right)$, or $8 d^{3} + \left(- 3 d\right) + \left(- 48 d^{2}\right) + 18$. This expression can be rewritten as $8 d^{3} - 48 d^{2} - 3 d + 18$. Thus, $\left(d - 6\right) \left(8 d^{2} - 3\right)$ is equivalent to $8 d^{3} - 48 d^{2} - 3 d + 18$. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Nonlinear functions,Medium,"The area A, in square centimeters, of a rectangular painting can be represented by the expression $w \left(w + 29\right)$, where $w$ is the width, in centimeters, of the painting. Which expression represents the length, in centimeters, of the painting?",$w$,$29$,$( w + 29 )$,$w ( w + 29 )$,C,,"Choice C is correct. It's given that the expression $w \left(w + 29\right)$ represents the area, in square centimeters, of a rectangular painting, where $w$ is the width, in centimeters, of the painting. The area of a rectangle can be calculated by multiplying its length by its width. It follows that the length, in centimeters, of the painting is represented by the expression $\left(w + 29\right)$. Choice A is incorrect. This expression represents the width, in centimeters, of the painting, not its length, in centimeters. Choice B is incorrect. This is the difference between the length, in centimeters, and the width, in centimeters, of the painting, not its length, in centimeters. Choice D is incorrect. This expression represents the area, in square centimeters, of the painting, not its length, in centimeters."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Medium,A system of equations consists of a quadratic equation and a linear equation. The equations in this system are graphed in the xy-plane above. How many solutions does this system have?,0,1,2,3,C,,"Choice C is correct. The solutions to a system of two equations correspond to points where the graphs of the equations intersect. The given graphs intersect at 2 points; therefore, the system has 2 solutions.Choice A is incorrect because the graphs intersect. Choice B is incorrect because the graphs intersect more than once. Choice D is incorrect. It’s not possible for the graph of a quadratic equation and the graph of a linear equation to intersect more than twice."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,"$x \left(k x - 56\right) = - 16$ In the given equation, $k$ is an integer constant. If the equation has no real solution, what is the least possible value of $k$?",,,,,50,50,"The correct answer is $50$. An equation of the form $a x^{2} + b x + c = 0$, where $a$, $b$, and $c$ are constants, has no real solutions if and only if its discriminant, $b^{2} - 4 a c$, is negative. Applying the distributive property to the left-hand side of the equation $x \left(k x - 56\right) = - 16$ yields $k x^{2} - 56 x = - 16$. Adding $16$ to each side of this equation yields $k x^{2} - 56 x + 16 = 0$. Substituting $k$ for $a$, $- 56$ for $b$, and $16$ for $c$ in $b^{2} - 4 a c$ yields a discriminant of $\left(- 56\right)^{2} - 4 \left(k\right) \left(16\right)$, or $3,136 - 64 k$. If the given equation has no real solution, it follows that the value of $3,136 - 64 k$ must be negative. Therefore, $3,136 - 64 k 49$. Since it's given that $k$ is an integer, the least possible value of $k$ is $50$."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Hard,"In a city, the property tax T, in dollars, is calculated using the formula above, where P is the value of the property, in dollars. Which of the following expresses the value of the property in terms of the property tax?","[Math: P = 100 T, minus 400]","[Math: P = 100 T, + 400]","[Math: P = 100 T, minus 40,000]","[Math: P = 100 T, + 40,000]",D,,"Choice D is correct. To express the value of the property in terms of the property tax, the given equation must be solved for P. Multiplying both sides of the equation by 100 gives [Math: 100 T =, P minus 40,000]. Adding 40,000 to both sides of the equation gives [Math: 100 T + 40,000, = P]. Therefore, [Math: P =, 100 T + 40,000].Choice A is incorrect and may result from multiplying 40,000 by 0.01, then subtracting 400 from, instead of adding 400 to, the left-hand side of the equation. Choice B is incorrect and may result from multiplying 40,000 by 0.01. Choice C is incorrect and may result from subtracting instead of adding 40,000 from the left-hand side of the equation."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Medium,$5 x^{2} - 37 x - 24 = 0$ What is the positive solution to the given equation?,$\frac{3}{5}$,$3$,$8$,$37$,C,,"Choice C is correct. The left-hand side of the given equation can be factored as $\left(5 x + 3\right) \left(x - 8\right)$. Therefore, the given equation, $5 x^{2} - 37 x - 24 = 0$, can be written as $\left(5 x + 3\right) \left(x - 8\right) = 0$. Applying the zero product property to this equation yields $5 x + 3 = 0$ and $x - 8 = 0$. Subtracting $3$ from both sides of the equation $5 x + 3 = 0$ yields $5 x = - 3$. Dividing both sides of this equation by $5$ yields $x = - \frac{3}{5}$. Adding $8$ to both sides of the equation $x - 8 = 0$ yields $x = 8$. Therefore, the two solutions to the given equation, $5 x^{2} - 37 x - 24 = 0$, are $- \frac{3}{5}$ and $8$. It follows that $8$ is the positive solution to the given equation. Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice D is incorrect and may result from conceptual or calculation errors."
Math,Advanced Math,Nonlinear equations in one variable and systems of equations in two variables,Easy,Which of the following inequalities is equivalent to the inequality above?,"[Math: x minus y, is greater than 2]","[Math: 2 x minus 3 y, is greater than 4]","[Math: 3 x minus 2 y, is greater than 4]","[Math: 3 y minus 2 x, is greater than 2]",B,,"Choice B is correct. Both sides of the given inequality can be divided by 3 to yield [Math: 2 x minus 3 y, is greater than 4].Choices A, C, and D are incorrect because they are not equivalent to (do not have the same solution set as) the given inequality. For example, the ordered pair [Math: 0 , - 1 . 5] is a solution to the given inequality, but it is not a solution to any of the inequalities in choices A, C, or D."
Math,Advanced Math,Nonlinear functions,Hard,"The function N defined above can be used to model the number of species of brachiopods at various ocean depths d, where d is in hundreds of meters. Which of the following does the model predict?","For every increase in depth by 1 meter, the number of brachiopod species decreases by 115.","For every increase in depth by 1 meter, the number of brachiopod species decreases by 10%.","For every increase in depth by 100 meters, the number of brachiopod species decreases by 115.","For every increase in depth by 100 meters, the number of brachiopod species decreases by 10%.",D,,"Choice D is correct. The function N is exponential, so it follows that [Math: N of d] changes by a fixed percentage for each increase in d by 1. Since d is measured in hundreds of meters, it also follows that the number of brachiopod species changes by a fixed percentage for each increase in ocean depth by 100 meters. Since the base of the exponent in the model is 0.90, which is less than 1, the number of brachiopod species decreases as the ocean depth increases. Specifically, the number of brachiopod species at a depth of [Math: d + 100] meters is 90% of the number of brachiopod species at a depth of d meters. This means that for each increase in ocean depth by 100 meters, the number of brachiopod species decreases by 10%.Choices A and C are incorrect. These describe situations where the number of brachiopod species are decreasing linearly rather than exponentially. Choice B is incorrect and results from interpreting the decrease in the number of brachiopod species as 10% for every 1-meter increase in ocean depth rather than for every 100-meter increase in ocean depth."
Math,Advanced Math,Nonlinear functions,Hard,$f \left(\right. x \left.\right) = \left(\right. x + 6 \left.\right) \left(\right. x + 5 \left.\right) \left(\right. x - 4 \left.\right)$ The function $f$ is given. Which table of values represents $y = f \left(\right. x \left.\right) - 3$?,| $x$ | $y$ | | --- | --- | | $- 6$ | $- 9$ | | $- 5$ | $- 8$ | | $4$ | $1$ |,| $x$ | $y$ | | --- | --- | | $- 6$ | $- 3$ | | $- 5$ | $- 3$ | | $4$ | $- 3$ |,| $x$ | $y$ | | --- | --- | | $- 6$ | $- 3$ | | $- 5$ | $- 2$ | | $4$ | $7$ |,| $x$ | $y$ | | --- | --- | | $- 6$ | $3$ | | $- 5$ | $3$ | | $4$ | $3$ |,B,,"Choice B is correct. It’s given that $f \left(x\right) = \left(\right. x + 6 \left.\right) \left(\right. x + 5 \left.\right) \left(\right. x - 4 \left.\right)$ and $y = f \left(\right. x \left.\right) - 3$. Substituting $\left(\right. x + 6 \left.\right) \left(\right. x + 5 \left.\right) \left(\right. x - 4 \left.\right)$ for $f \left(x\right)$ in the equation $y = f \left(\right. x \left.\right) - 3$ yields $y = \left(\right. x + 6 \left.\right) \left(\right. x + 5 \left.\right) \left(\right. x - 4 \left.\right) - 3$. Substituting $- 6$ for $x$ in this equation yields $y = \left(\right. - 6 + 6 \left.\right) \left(\right. - 6 + 5 \left.\right) \left(\right. - 6 - 4 \left.\right) - 3$, or $y = - 3$. Substituting $- 5$ for $x$ in the equation $y = \left(\right. x + 6 \left.\right) \left(\right. x + 5 \left.\right) \left(\right. x - 4 \left.\right) - 3$ yields $y = \left(\right. - 5 + 6 \left.\right) \left(\right. - 5 + 5 \left.\right) \left(\right. - 5 - 4 \left.\right) - 3$, or $y = - 3$. Substituting $4$ for $x$ in the equation $y = \left(\right. x + 6 \left.\right) \left(\right. x + 5 \left.\right) \left(\right. x - 4 \left.\right) - 3$ yields $y = \left(\right. 4 + 6 \left.\right) \left(\right. 4 + 5 \left.\right) \left(\right. 4 - 4 \left.\right) - 3$, or $y = - 3$. Therefore, when $x = - 6$ then $y = - 3$, when $x = - 5$ then $y = - 3$, and when $x = 4$ then $y = - 3$. Thus, the table of values in choice B represents $y = f \left(\right. x \left.\right) - 3$. Choice A is incorrect. This table represents $y = x - 3$ rather than $y = f \left(\right. x \left.\right) - 3$. Choice C is incorrect. This table represents $y = x + 3$ rather than $y = f \left(\right. x \left.\right) - 3$. Choice D is incorrect. This table represents $y = f \left(x\right) + 3$ rather than $y = f \left(\right. x \left.\right) - 3$."
