test,domain,skill,difficulty,question_text_plain,question_text_latex,figure_description,option_A,option_B,option_C,option_D,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,explanation_plain,explanation_latex
Reading and Writing,Information and Ideas,Command of Evidence,Easy,"Researcher Judith Hilton and her team interviewed 55 people about which factors would make them switch from using single-use plastic containers to reusable containers. The graph shows three of the factors mentioned in the interviews and the percentage of participants who mentioned them.

According to the graph, about what percentage of participants mentioned costs in the interviews?",,Bar graph titled Percentage of Participants Who Mentioned Factors. The horizontal axis is labeled Factor. 3 bars are shown. The vertical axis is labeled Percent. It ranges from 0 to 80 in increments of 10. Refer to long description.,10%,95%,25%,50%,,,,,D,,"Choice D is the best answer because it states the percentage of participants who mentioned costs in the interviews conducted by Judith Hilton and her team. The text states that Hilton and her team interviewed participants about factors that would encourage them to switch from single-use plastic containers to reusable containers. The graph presents three factors mentioned in the interviews (convenience, costs, and established behaviors) and the percentage of participants who mentioned each one. The graph shows that about 50% of participants mentioned costs as a factor.Choice A is incorrect because the graph shows that about 50% of participants, not 10%, mentioned costs as a factor. Choice B is incorrect because the graph shows that about 50% of participants, not 95%, mentioned costs as a factor. Choice C is incorrect because the graph shows that about 50% of participants, not 25%, mentioned costs as a factor.",
Reading and Writing,Information and Ideas,Command of Evidence,Medium,"Many plants lose their leaf color when exposed to kanamycin, an antibiotic produced by some soil microorganisms. Spelman College biologist Mentewab Ayalew and her colleagues hypothesized that plants’ response to kanamycin exposure involves altering their uptake of metals, such as iron and zinc. The researchers grew two groups of seedlings of the plant Arabidopsis thaliana, half of which were exposed to kanamycin and half of which were a control group without exposure to kanamycin, and measured the plants’ metal content five days after germination.

Which choice best describes data in the graph that support Ayalew and her colleagues’ hypothesis?",,"Bar graph titled Metal Content of Plants with and without Kanamycin Exposure. The horizontal axis is labeled Experimental condition. 2 data categories are shown. The vertical axis is labeled Metal content, in parts per million. It ranges from 0 to 700 in increments of 100. Refer to long description.","The control plants contained higher levels of zinc than iron, but plants exposed to kanamycin contained higher levels of iron than zinc.",Both groups of plants contained more than 200 parts per million of both iron and zinc.,Zinc levels were around 300 parts per million in the control plants but nearly 400 parts per million in the plants exposed to kanamycin.,The plants exposed to kanamycin showed lower levels of iron and zinc than the control plants did.,,,,,D,,"Choice D is the best answer because it best describes data in the graph supporting Ayalew and her colleagues’ hypothesis that plants’ response to kanamycin exposure involves altering their uptake of metals. The graph compares the metal content of two groups of plants, one with kanamycin exposure and a control group without such exposure. The amount of zinc in plants without kanamycin exposure is around 400 parts per million, while the amount of zinc in plants with kanamycin exposure is lower, at around 300 parts per million. Similarly, the amount of iron in plants without kanamycin exposure is a little over 600 parts per million, while the amount of iron in plants with kanamycin exposure is lower, at a little over 200 parts per million. Thus, the graph shows that plants with kanamycin exposure have significantly lower levels of both iron and zinc than the plants without kanamycin exposure. This is evidence supporting the hypothesis that kanamycin exposure results in plants altering their uptake of metals. Choice A is incorrect because the graph shows that control plants contained higher levels of iron than zinc, not higher levels of zinc than iron; similarly, the plants exposed to kanamycin contained higher levels of zinc than iron, not higher levels of iron than zinc. Choice B is incorrect. Though the claim that both groups of plants contained more than 200 parts per million of both iron and zinc is supported by the graph, this alone does not state whether plants with kanamycin exposure have a different metal content than plants without kanamycin exposure. Choice C is incorrect. The graph shows that the zinc levels for the control plants (those without kanamycin exposure) were around 400 parts per million, not 300 parts per million, and that the zinc levels for plants with kanamycin exposure were around 300 parts per million, not 400 parts per million.",
Reading and Writing,Information and Ideas,Command of Evidence,Easy,"To monitor changes to glaciers in Switzerland, the government periodically measures them for features like total area of ice and mean ice thickness, which are then reported in the Swiss Glacier Inventory. These measurements can be used to compare the glaciers. For example, the Gorner glacier had ______

Which choice most effectively uses data from the graph to complete the example?",,"Bar graph titled Area of Three Glaciers in the 2016 Swiss Glacier Inventory. The horizontal axis is labeled Glacier. 3 data categories are shown. The vertical axis is labeled Area, in square kilometers. It ranges from 0 to 50 in increments of 10. Refer to long description.",a larger area than either the Fiescher glacier or the Unteraar glacier.,a smaller area than the Fiescher glacier but a larger area than the Unteraar glacier.,a smaller area than either the Fiescher glacier or the Unteraar glacier.,a larger area than the Fiescher glacier but a smaller area than the Unteraar glacier.,,,,,A,,"Choice A is the best answer. The claim is that measurements such as total area can be used to compare glaciers. The graph shows us the area measurements for three glaciers. Of those, Gorner has the largest area. Choice B is incorrect. This choice misreads the graph. The graph shows that Gorner has the largest area of the three. Choice C is incorrect. This choice misreads the graph. The graph shows that Gorner has the largest area of the three. Choice D is incorrect. This choice misreads the graph. The graph shows that Gorner has the largest area of the three.",
Reading and Writing,Information and Ideas,Command of Evidence,Easy,"By the early 1900s, the Singer Corporation, a US sewing machine manufacturer founded in 1851, began to see rapidly increasing sales abroad, particularly in Russia, Germany, and the United Kingdom. These markets were responsible for the bulk of Singer’s overseas sales, but demand for the company’s machines in other countries also grew significantly in the early twentieth century. For instance, sales of their sewing machines in ______

Which choice most effectively uses data from the graph to complete the example?",,"A line graph titled Singer Sewing Machine Sales in Four Countries, 1903–1918. The horizontal axis is labeled Year. It ranges from 1903 to 1918 in increments of 5. The vertical axis is labeled Machines sold. It ranges from 0 to 60,000 in increments of 10,000. 4 lines are shown. Refer to long description.",the Philippines increased dramatically from 1908 to 1918.,New Zealand were largely consistent from 1903 to 1918.,Australia increased steadily from 1903 to 1918.,Turkey declined substantially from 1913 to 1918.,,,,,A,,"Choice A is the best answer because it most effectively uses data from the graph to complete the example. According to the graph, fewer than 10,000 sewing machines were sold in the Philippines in both 1903 and 1908, but nearly 30,000 were sold in 1913 and around 45,000 were sold in 1918. This increase illustrates the statement in the text that demand for Singer sewing machines grew significantly in the early twentieth century in overseas countries other than Russia, Germany, and the United Kingdom. Choice B is incorrect because consistent sales of Singer sewing machines in New Zealand from 1903 to 1918 do not indicate that demand for the product increased but rather that demand remained relatively the same. Choice C is incorrect because it does not accurately describe the data in the graph. Although sales in Australia did increase somewhat between 1903 and 1908, there was very little change between 1908 and 1913, and then sales declined between 1913 and 1918. The data for Australia, then, do not show a steady increase from 1903 to 1918. Choice D is incorrect because declining sales of Singer sewing machines in Turkey from 1913 to 1918 do not point to an increase in demand for the product but rather to a decline in demand.",
Reading and Writing,Information and Ideas,Command of Evidence,Hard,"Honeybee hives consist mainly of hexagonal (six-sided) units called cells, in which queens lay eggs. Hexagonal cells for eggs that develop into nonreproductive workers are smaller than those for eggs that develop into reproductive drones, though the size difference varies by species. Difference in cell size results in a construction problem—it’s hard to neatly connect sections of small cells to sections of large cells—that worsens as the difference increases. To fill in gaps between the sections when building a hive, bees rely on cells that have more or fewer than six sides. A student studying beehive structure consults data on three species, concluding that ______

Which choice most effectively uses data from the graph to complete the student’s conclusion?",,Bar graph titled Percentage of Nonhexagonal Cells in Hives of Three Honeybee Species. The horizontal axis is labeled Species. 3 data categories are shown. The vertical axis is labeled Average percentage of nonhexagonal cells by shape. It ranges from 0 to 3.0 in increments of 0.5. Refer to long description.,cells for worker eggs are probably closer in size to cells for drone eggs in the hives of the western honeybee than in the hives of the dwarf honeybee and the black dwarf honeybee.,"both the western honeybee and the black dwarf honeybee probably reserve eight-sided cells for drone eggs, while the dwarf honeybee likely deposits drone eggs in seven-sided cells.",the western honeybee probably relies on many more geometrical shapes when constructing cells than either the dwarf honeybee or the black dwarf honeybee does.,the percentage of hexagonal cells is probably slightly lower in the hives of the western honeybee than in the hives of the dwarf honeybee and the black dwarf honeybee.,,,,,A,,"Choice A is the best answer because it most effectively uses data from the graph to complete the student’s conclusion about beehive structure. The text explains that in the hives of honeybees, the hexagonal cells housing drone eggs are larger than the hexagonal cells housing worker eggs, and that this size difference results in a construction problem that the bees address by using nonhexagonal cells to fill gaps between sections of drone-egg cells and worker-egg cells. The text also states that the size difference between drone-egg cells and worker-egg cells varies by species of honeybee. The graph displays data on the percentage of nonhexagonal cells in the hives of three species. In the hives of the western honeybee, the percentages of five-sided, seven-sided, and eight-sided cells are all less than 0.5%. But in the hives of the black dwarf honeybee, the percentages of five-sided and seven-sided cells are higher than those for the western honeybee: about 2.5% for both. And for the dwarf honeybee, the percentages of five-sided and seven-sided cells are also higher than those for the western honeybee: slightly over 2.5% and slightly over 2.0%, respectively; additionally, the dwarf honeybee possesses a higher percentage of eight-sided cells than the western honeybee does. Taken altogether, the graph shows that the hives of the western honeybee consist of a smaller percentage of nonhexagonal cells than the hives of the two other species do. Since the nonhexagonal cells exist only to solve the construction problem arising from the difference in size between drone-egg cells and worker-egg cells, a smaller percentage of nonhexagonal cells would be associated with a smaller size difference between the two types of cells. Therefore, it can be concluded from the data that worker-egg cells are probably closer in size to drone-egg cells in the hives of the western honeybee than in the hives of the other two species.Choice B is incorrect because, as the text states, honeybee species deposit their eggs in hexagonal cells, not in nonhexagonal ones. Thus, the western honeybee and black dwarf honeybee wouldn’t deposit drone eggs in eight-sided cells, and the dwarf honeybee wouldn’t deposit drone eggs in seven-sided cells. Choice C is incorrect. The text explains that honeybees rely mainly on one geometric shape, the hexagon, when constructing their hives, and the graph shows that the western honeybee relies on the same nonhexagonal shapes as the dwarf honeybee does: five-sided, seven-sided, and eight-sided cells. In other words, the western honeybee and dwarf honeybee rely on the same number of geometric shapes. For the black dwarf honeybee, the graph displays data only for five-sided and seven-sided cells, which suggests a total absence of eight-sided cells. Yet this would be only one less nonhexagonal shape than is seen in the western honeybee. Thus, based on the graph, it would be inaccurate to say that the western honeybee relies on ""many more"" geometrical shapes than the other two species do. Choice D is incorrect. As the text explains, honeybee hives consist mainly of hexagonal cells, and sections of nonhexagonal cells are used to connect sections of hexagonal cells of different sizes. Since the graph indicates that the percentage of nonhexagonal cells is lower for the western honeybee than it is for the dwarf honeybee or black dwarf honeybee, the western honeybee would conversely have a higher percentage of hexagonal cells than the either the dwarf honeybee or black dwarf honeybee does, not a lower percentage.",
Reading and Writing,Information and Ideas,Command of Evidence,Hard,"The population of the coral Lophelia pertusa declined significantly around 9,000 years ago in the Alboran Sea and around 11,000 years ago near the Mauritanian coast. Using the ratio of manganese to calcium, which inversely correlates with ocean oxygenation levels, marine scientist Rodrigo da Costa Portilho-Ramos and colleagues evaluated whether oxygenation played a role in the declines of L. pertusa. The researchers concluded that oxygenation may have been important in the Alboran Sea but not near the Mauritanian coast, since ______

Which choice most effectively uses data from the graph to complete the statement?",,"Line graph titled Ratio of Manganese to Calcium in Samples from Alboran Sea and Mauritanian Coast. The horizontal axis is labeled Approximate years before present, in thousands. It ranges from 2 to 20 in increments of 2. The vertical axis is labeled Manganese to calcium ratio, in micromoles per mole. It ranges from 0 to 100 in increments of 10. 2 lines are shown. Refer to long description.","a substantial increase in oxygenation in the Alboran Sea corresponded with the local decline in L. pertusa, but the opposite relationship between oxygenation and L. pertusa was found near the Mauritanian coast.","L. pertusa declined in the Alboran Sea during a period of substantial local decline in oxygenation, but L. pertusa declined near the Mauritanian coast during a period of little local change in oxygenation.","oxygenation in the Alboran Sea was higher before the decline in L. pertusa than after the decline, whereas oxygenation near the Mauritanian coast was relatively low both before and after the decline in L. pertusa.",oxygenation in the Alboran Sea tended to be substantially higher than oxygenation near the Mauritanian coast during the period studied.,,,,,B,,"Choice B is the best answer because it effectively uses data from the graph to complete the statement about Rodrigo da Costa Portilho-Ramos and colleagues’ conclusion. The graph shows the ratio of manganese to calcium in L. pertusa coral samples from the Alboran Sea and the Mauritanian coast. The graph reflects time in approximate years before present: in other words, the greater the number in years noted on the graph’s horizontal axis, the farther that moment is in the past. The text indicates that the researchers tested the samples to determine whether oxygenation played a role in the decline of L. pertusa. The text goes on to note that a change in the ratio of manganese to calcium would signal an inverse, or opposite, change in oxygenation. According to the graph, the ratio of manganese to calcium in samples from the Alboran Sea increased from about 30 micromoles per mole 10,000 years ago to about 80 micromoles per mole 8,000 years ago, which means that oxygenation decreased between 10,000 and 8,000 years ago. Meanwhile, there was almost no discernible change in the ratio of manganese to calcium in samples from the Mauritanian coast between 12,000 and 10,000 years ago. According to the text, the population of L. pertusa declined significantly around 9,000 years ago in the Alboran Sea and around 11,000 years ago near the Mauritanian coast. Thus, the increase in the ratio of manganese to calcium around 9,000 years ago in the Alboran Sea coincides with the decline in the L. pertusa population, suggesting an association between the decrease in oxygenation and the decline in population of the coral. No such relationship is suggested around 11,000 years ago near the Mauritanian coast. So, oxygenation likely played a role in the L. pertusa decline in the Alboran Sea but not in the coral’s decline near the Mauritanian coast.Choice A is incorrect because it asserts the opposite of what the graph indicates regarding oxygenation in the Alboran Sea, and it misrepresents what the graph indicates about oxygenation near the Mauritanian coast. The graph indicates that at the time of the decline in L. pertusa (approximately 9,000 years ago), the samples from the Alboran Sea contained a ratio of manganese to calcium that was increasing. According to the text, this ratio inversely correlates with ocean oxygenation levels, so if the ratio was increasing, oxygenation was decreasing, not substantially increasing. Furthermore, the graph shows that the ratio of manganese to calcium remained relatively stable in coral samples from the Mauritanian coast during the period studied, which suggests that there was no discernible relationship between oxygenation and the coral’s population decline in that location, not that there was a substantial decrease in oxygenation corresponding to the coral’s decline. Choice C is incorrect. Although the graph suggests that the level of oxygenation in the Alboran Sea was higher before the decline in L. pertusa than after—because the ratio of manganese to calcium inversely correlates with ocean oxygenation levels and this ratio was lower before the decline than after—the graph doesn’t support the claim that oxygenation near the Mauritanian coast was consistently low before and after the coral’s decline there. Rather, the graph indicates that relative to coral samples from the Alboran Sea, the ratio of manganese to calcium in samples from near the Mauritanian coast was consistently low, which suggests that oxygenation levels were relatively high both before and after the decline of L. pertusa. Choice D is incorrect because it states the opposite of what the graph indicates: the graph shows that throughout the period studied, the ratio of manganese to calcium was higher in coral samples from the Alboran Sea than it was in samples from near the Mauritanian coast. Since the text indicates that the ratio of manganese to calcium inversely correlates with ocean oxygenation levels, oxygenation in the Alboran Sea was therefore lower than, not higher than, oxygenation near the Mauritanian coast during the period studied. Moreover, even if choice D did accurately represent the graph, it wouldn’t effectively complete the statement since a comparison of the ocean oxygenation levels at the two locations is not relevant to the claim that a decline in oxygenation levels was associated with the decline of L. pertusa in the Alboran Sea but not near the Mauritanian coast.",
Reading and Writing,Information and Ideas,Command of Evidence,Medium,"The share of the world’s population living in cities has increased dramatically since 1970, but this change has not been uniform. France and Japan, for example, were already heavily urbanized in 1970, with 70% or more of the population living in cities. The main contributors to the world’s urbanization since 1970 have been countries like Algeria, whose population went from ______

Which choice most effectively uses data from the graph to complete the assertion?",,"A line graph titled Urban Population of Algeria, France, Japan, and Nigeria. The horizontal axis is labeled Year. It ranges from 1970 to 2020 in increments of 10. The vertical axis is labeled Percent of population living in cities. It ranges from 0 to 100 in increments of 10. 4 lines are shown. Refer to long description.",around 50% urban in 1970 to around 90% urban in 2020.,less than 40% urban in 1970 to around 90% urban in 2020.,less than 20% urban in 1970 to more than 50% urban in 2020.,around 40% urban in 1970 to more than 70% urban in 2020.,,,,,D,,"Choice D is the best answer. This choice effectively uses data from the graph to complete the example. The line representing the percent of Algeria’s population living in cities is the black triangle line. According to the graph, it started at 40% in 1970 and reached 70% in 2020. Choice A is incorrect. This choice misreads the graph. The line representing the percent of Algeria’s population living in cities is the black triangle line. According to the graph, it started at 40% in 1970 and reached 70% in 2020. Choice B is incorrect. This choice misreads the graph. The line representing the percent of Algeria’s population living in cities is the black triangle line. According to the graph, it started at 40% in 1970 and reached 70% in 2020. Choice C is incorrect. This choice misreads the graph. The line representing the percent of Algeria’s population living in cities is the black triangle line. According to the graph, it started at 40% in 1970 and reached 70% in 2020.",
Reading and Writing,Information and Ideas,Command of Evidence,Hard,"Perovskite solar cells convert light into electricity more efficiently than earlier kinds of solar cells, and manufacturing advances have recently made them commercially attractive. One limitation of the cells, however, has to do with their electron transport layer (ETL), through which absorbed electrons must pass. Often the ETL is applied through a process called spin coating, but such ETLs are fairly inefficient at converting input power to output power. André Taylor and colleagues tested a novel spray coating method for applying the ETL. The team produced ETLs of various thicknesses and concluded that spray coating holds promise for improving the power conversion efficiency of ETLs in perovskite solar cells.

Which choice best describes data from the graph that support Taylor and colleagues’ conclusion?",,"Bar graph titled Power Conversion Efficiency of Lowest and Highest Performing Spin-coated and Spray-coated Electron Transport Layers. The horizontal axis is labeled Thickness. 2 data categories are shown. The vertical axis is labeled Power conversion efficiency, in percent. It ranges from 0 to 18 in increments of 2. Refer to long description.",Both the ETL applied through spin coating and the ETL applied through spray coating showed a power conversion efficiency greater than 10% at their lowest performing thickness.,The lowest performing ETL applied through spray coating had a higher power conversion efficiency than the highest performing ETL applied through spin coating.,"The highest performing ETL applied through spray coating showed a power conversion efficiency of approximately 13%, while the highest performing ETL applied through spin coating showed a power conversion efficiency of approximately 11%.",There was a substantial difference in power conversion efficiency between the lowest and highest performing ETLs applied through spray coating.,,,,,B,,"Choice B is the best answer because it describes data from the graph that support Taylor and colleagues’ conclusion that spray coating holds promise for improving the power conversion efficiency of ETLs in perovskite solar cells. The text explains that perovskite solar cells’ efficiency at converting light into electricity is diminished by their electron transport layer (ETL), which is applied through spin coating, but that Taylor’s team devised a new spray coating method for applying the ETL that improves its power conversion efficiency. The graph displays data on the power conversion efficiency of solar cells in tests conducted by Taylor’s team, with bars for both the highest- and lowest-performing ETLs in two data categories: spray coating and spin coating. According to the graph, the lowest-performing ETL applied through spray coating had a power conversion efficiency of between 14% and 16%, while the highest-performing ETL applied through spin coating had a power conversion efficiency of less than 14%. These data confirm that ETLs applied through novel spray coating are more efficient than those applied though traditional spin coating. Thus, the data support Taylor and colleagues’ conclusion about spray coating’s potential value. Choice A is incorrect. Although this claim correctly describes the data in the graph by stating that both the lowest-performing ETL applied through spin coating and the lowest-performing ETL applied through spray coating had a power conversion efficiency greater than 10%, this relationship in the data doesn’t support or relate to Taylor and colleagues’ conclusion that spray coating promises greater efficiency for solar cells than traditional spin coating does. Choice C is incorrect. This claim does address the greater power conversion efficiency of the highest-performing ETL applied through spray coating, compared with the highest-performing ETL applied through spin coating. However, it also incorrectly cites the value for the efficiency of the highest-performing ETL applied through spray coating as approximately 13%, instead of a value between 14% and 16%, and the value for the efficiency of the highest-performing ETL applied through spin coating as approximately 11%, instead of a value between 12% and 14%, as shown in the graph. Choice D is incorrect because Taylor and colleagues’ conclusion is based on the difference in the power conversion efficiency of ETLs applied through spray coating and that of ETLs applied through spin coating, not on the difference between the highest- and lowest-performing ETLs applied through just spray coating.",
Reading and Writing,Information and Ideas,Command of Evidence,Easy,"A student is presenting average monthly rainfall totals in various Puerto Rican cities for a science class. During the presentation, the student notes that in September ______

Which choice most effectively uses data from the graph to complete the statement?",,"A line graph titled Average Monthly Rainfall in Select Puerto Rican Cities from 1981 to 2010. The horizontal axis is labeled Month. It ranges from May to September. The vertical axis is labeled Average rainfall, in inches. It ranges from 0 to 14 in increments of 2. 4 lines are shown. Refer to long description.","Rincón’s average rainfall is greater than that of Isabela, San Sebastián, and Ponce.","Rincón and Ponce have an average rainfall of about 5 inches, and Isabela and San Sebastián have an average rainfall of about 10 inches.","Rincón, Ponce, and Isabela each have an average rainfall below 8 inches, but San Sebastián’s average rainfall that month is greater than 8 inches.","Rincón has a similar average rainfall to Isabela, and Ponce has a similar average rainfall to San Sebastián.",,,,,C,,"Choice C is the best answer because it most effectively uses data from the graph to complete the statement about average rainfall in September in select Puerto Rican cities. The graph shows that between 1981 and 2010 Rincón, Ponce, and Isabela all had an average rainfall during the month of September of about 6 inches, and San Sebastián had an average rainfall of nearly 11 inches. Describing the average September rainfall of Rincón, Ponce, and Isabela as below 8 inches and the average September rainfall of San Sebastián as greater than 8 inches therefore offers an accurate description of the data in the graph and most effectively completes the statement. Choice A is incorrect because it offers an inaccurate interpretation of the data in the graph. The graph shows that in September, Rincón, Isabela, and Ponce all have an average rainfall of about 6 inches, and San Sebastián has an average rainfall of nearly 11 inches. Therefore, Rincón’s average rainfall is the same as, not greater than, that of Isabela and Ponce, and it is below, not greater than, that of San Sebastián. Choice B is incorrect because it inaccurately describes the data in the graph. In September, Rincón and Ponce have an average rainfall of about 6 inches, not 5 inches; Isabela has an average rainfall of about 6 inches, not 10 inches; and San Sebastián has an average rainfall of nearly 11 inches, not 10 inches. Choice D is incorrect because although the graph shows a similar average rainfall (about 6 inches) for Rincón and Isabela in September, it doesn’t show that Ponce has a similar average rainfall to San Sebastián during this month. In September, Ponce’s average rainfall is about 6 inches, whereas San Sebastián’s average rainfall is nearly 11 inches.",
Reading and Writing,Information and Ideas,Command of Evidence,Easy,"In 2021, four of the United States national parks that were among the most visited were Grand Canyon National Park, Rocky Mountain National Park, Yellowstone National Park, and Zion National Park. The graph shows the number of visits for recreation to each of these parks during the three-month period with the highest number of visitors. A student notes that among the parks shown in the graph, the park with the highest monthly recreation visits in all three months was ______

Which choice most effectively uses data from the graph to complete the text?",,"Line graph titled Recreation Visits by Month to Four U S National Parks during the Peak Season in 2021. The horizontal axis is labeled Month. It ranges from June to August. The vertical axis is labeled Number of recreation visits, in thousands of visitors. It ranges from 0 to 1,100 in increments of 100. 4 lines are shown. Refer to long description.",Zion National Park.,Rocky Mountain National Park.,Yellowstone National Park.,Grand Canyon National Park.,,,,,C,,"Choice C is the best answer because it most effectively uses data from the graph to complete the statement about the US national park with the highest number of recreation visits during a three-month period. The line graph shows the number of recreation visits to four US national parks for the months of June, July, and August 2021. According to the graph, the number of recreation visits to Yellowstone National Park in June was approximately 940,000; in July, the number of visits was approximately 1,080,000; and in August, the number of visits was approximately 920,000. In all three months, the number of visits to Yellowstone was higher than the number of visits to any other park in each month.Choice A is incorrect. According to the graph, the number of recreation visits to Zion National Park was approximately 680,000 in June, about 580,000 in July, and about 470,000 in August, each of which is lower than the number of visits to Yellowstone in the same months. Choice B is incorrect. According to the graph, the number of recreation visits to Rocky Mountain National Park was approximately 670,000 in June, about 900,000 in July, and about 750,000 in August, each of which is lower than the number of visits to Yellowstone in the same months. Choice D is incorrect. According to the graph, the number of recreation visits to Grand Canyon National Park was approximately 540,000 in June, about 560,000 in July, and about 430,000 in August, each of which is lower than the total visits to Yellowstone in the same months.",
Reading and Writing,Information and Ideas,Command of Evidence,Medium,"To investigate the influence of certain estrogen-responsive neurons on energy expenditure, biologist Stephanie Correa et al. treated female and male mice with either saline solution or clozapine-N4-oxide (CNO), which activates the neurons. Monitoring the activity levels of the mice by measuring how frequently the animals broke infrared beams crossing their enclosures, Correa et al. found that the mice in their study showed sex-specific differences in response to neuron activation: ______

Which choice most effectively uses data from the graph to complete the assertion?",,"A line graph titled Number of Infrared Beam Breaks by Mice Treated with CNO or Saline, by Sex. The horizontal axis is labeled Minutes from treatment. It ranges from negative 4 to 150 in increments of 14. The vertical axis is labeled Number of beam breaks. It ranges from 0 to 1,500 in increments of 500. 4 lines are shown. Refer to long description.",the four groups of mice differed greatly in their activity levels before treatment but showed identical activity levels at the end of the monitoring period.,saline-treated females showed substantially more activity at certain points in the monitoring period than saline-treated males did.,CNO-treated females showed more activity relative to saline-treated females than CNO-treated males showed relative to saline-treated males.,"CNO-treated females showed a substantial increase and then decline in activity over the monitoring period, whereas CNO-treated males showed a substantial decline in activity followed by a steep increase.",,,,,C,,"Choice C is the best answer. The graph shows that the CNO-treated females were way more active than the CNO-treated males, while the saline-treated males and females (the control groups) had very similar activity levels. This supports the claim that there were sex-specific differences in the mice’s response to neuron activation. Choice A is incorrect. This choice misreads the graph. All four groups of mice started at nearly the same activity level before treatment (see how all four points are very close together at -4 minutes, meaning four minutes before treatment). Choice B is incorrect. This choice doesn’t complete the assertion. The assertion is about the mice’s response to neuron activation, so we need to include the data about the CNO-treated females and males. Choice D is incorrect. This choice misreads the graph. The line for the CNO-treated males does not show a “substantial decline” until around 122 minutes, and there is no “steep increase” afterward.",
Reading and Writing,Information and Ideas,Command of Evidence,Hard,"Aerial robots vary considerably in their holding force; the Ultra-Fast Robot Hand, for example, has a holding force of 56 newtons, more than twice that of the Permanent Magnet Hand and more than four times that of the Yale Model T. Since an aerial robot must lift its own weight along with its cargo, engineer Jiawei Meng and colleagues used a ratio of each robot’s holding force to the robot’s weight to calculate payload capacity, with higher ratios corresponding to greater capacity, concluding that the Ultra-Fast Robot Hand has a higher payload capacity than the Yale Model T.

Which choice best describes data in the graph that support Meng and colleagues’ conclusion?",,"A bar graph titled Weight of Three Aerial Robots. The horizontal axis is labeled Robot. 3 data categories are shown. The vertical axis is labeled Weight, in grams. It ranges from 0 to 550 in increments of 50. Refer to long description.",The Ultra-Fast Robot Hand and the Yale Model T each weigh more than 450 grams.,The Ultra-Fast Robot Hand and the Yale Model T each weigh more than the Permanent Magnet Hand does.,The Yale Model T has a lower holding force than the Permanent Magnet Hand despite weighing more.,The Ultra-Fast Robot Hand weighs only slightly more than the Yale Model T does.,,,,,D,,"Choice D is the best answer because it describes data in the graph that support Meng and colleagues’ conclusion that the Ultra-Fast Robot Hand has a higher payload capacity than the Yale Model T. According to the text, payload capacity is calculated by using a ratio of a robot’s holding force to the robot’s weight, and higher ratios indicate a greater payload capacity. The Ultra-Fast Robot Hand has a holding force of 56 newtons, four times greater than that of the Yale Model T. Additionally, the graph shows that the Ultra-Fast Robot Hand has a weight of approximately 500 grams, slightly more than the Yale Model T’s weight of approximately 480 grams. Therefore, the Ultra-Fast Robot Hand has a higher ratio of holding force to weight than the Yale Model T. Since higher ratios correspond to greater payload capacity, the information from the graph indicating that the Ultra-Fast Robot Hand weighs only slightly more than the Yale Model T combined with the information in the text ultimately supports the conclusion that the Ultra-Fast Robot Hand has a higher payload capacity than the Yale Model T. Choice A is incorrect. Although, according to the graph, it’s true that both the Ultra-Fast Robot Hand and the Yale Model T weigh more than 450 grams, this statement doesn’t support Meng and colleagues’ conclusion that the Ultra-Fast Robot Hand has a higher payload capacity than the Yale Model T. This statement emphasizes a similarity, not a distinction, between the two robots. Choice B is incorrect. Although, according to the graph, it’s true that the Ultra-Fast Robot Hand and the Yale Model T both weigh more than the Permanent Magnet Hand does, this statement doesn’t support Meng and colleagues’ conclusion that the Ultra-Fast Robot Hand has a higher payload capacity than the Yale Model T. This statement emphasizes a similarity, not a distinction, between the Ultra-Fast Robot Hand and the Yale Model T. Furthermore, the comparison to the Permanent Magnet Hand is irrelevant to the claim about the relative ratios and payload capacities of the Ultra-Fast Robot Hand and the Yale Model T. Choice C is incorrect. Although the text states that the Yale Model T has a lower holding force than the Permanent Magnet Hand, the graph provides no information about holding force. Moreover, information about the Permanent Magnet Hand is irrelevant to the conclusion by Meng and colleagues, which only concerns the Ultra-Fast Robot Hand and the Yale Model T.",
